,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Hem Shaped,Placket,Arabian Clothing,Top Type,Belt
78,swtee44201106853,,8,0,0,0,0,0,0,1,1,7,2,8,Elegant,Black,Plain,Regular,,Round Neck,Long Sleeve,Leg-of-mutton Sleeve,Pullovers,"Button, Rib-Knit",Spring/Fall,"20% Rayon, 5% Spandex, 75% Polyester",Cotton Blends,Slight Stretch,No,Slim Fit,,,,,,,,Button Detail Leg-of-mutton Rib-knit Tee,6.99,,,,,
79,swtop07201110422,,64,1,0,0,0,1,0,3,1,59,16,2,Casual,Black and White,Houndstooth,Crop,,One Shoulder,Sleeveless,,Pullovers,,Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN One Shoulder Houndstooth Top,1.99,,,,,
80,swouter23201229835,,71,0,0,2,1,0,0,1,0,68,6,19,Casual,Dark Grey,Plain,Regular,Cardigan,Deep V Neck,Long Sleeve,Drop Shoulder,,Button Front,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Button Front Cardigan,16.0,,,,,
81,swouter23201120587,,71,0,0,2,1,0,0,1,0,68,6,17,Casual,Light Grey,Plain,Regular,Cardigan,Deep V Neck,Long Sleeve,Drop Shoulder,,Button Front,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Button Front Cardigan,14.0,,,,,
82,swouter23201229779,,71,0,0,2,1,0,0,1,0,68,6,19,Casual,Chocolate Brown,Plain,Regular,Cardigan,Deep V Neck,Long Sleeve,Drop Shoulder,,Button Front,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Button Front Cardigan,16.0,,,,,
83,swtop04201130844,,127,0,0,0,0,3,0,1,1,124,22,0,Casual,Redwood,Plain,Crop,,V neck,Sleeveless,,Pullovers,,Spring/Fall,"95% Polyester, 5% Spandex",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,V Neck Solid Sweater Vest,10.0,,,,,
84,swtop04201028909,,127,0,0,0,0,3,0,1,1,124,22,14,Casual,Beige,Plain,Crop,,V neck,Sleeveless,,Pullovers,,Spring/Fall,"95% Polyester, 5% Spandex",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,V Neck Solid Sweater Vest,12.0,,,,,
85,swtop04201130647,,127,0,0,0,0,127,23,1,1,124,22,12,Casual,White,Plain,Crop,,V neck,Sleeveless,,Pullovers,,Spring/Fall,"95% Polyester, 5% Spandex",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,V Neck Solid Sweater Vest,10.0,,,,,
86,swtee07200824707,,10000,9999,3372,0,0,0,0,0,0,0,0,4,Casual,White,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Placket,Button Front,Spring/Summer,"4.8% Spandex, 95.2% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN V-Neck Buttoned Long Sleeve Cropped Tee,3.99,,,,,
87,swtee07200722469,,10000,0,0,0,0,0,0,0,0,9999,3373,6,Casual,"Pastel, Lilac Purple",Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Placket,Button Front,Spring/Summer,"4.8% Spandex, 95.2% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Button Up Solid Crop Top,4.99,,,,,
88,swtee07200824645,,10000,0,0,0,0,0,0,0,0,9999,3373,6,Basics,Black,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Placket,Button Front,Spring/Summer,"4.8% Spandex, 95.2% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN V-Neck Buttoned Long Sleeve Cropped Tee,4.99,,,,,
89,swtee07200824203,,10000,0,0,0,0,0,0,0,0,9999,3373,6,Casual,Red,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Placket,Button Front,Spring/Summer,"4.8% Spandex, 95.2% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Button Up Crop Top,4.99,,,,,
90,swtee07200825304,,10000,0,0,0,0,0,0,0,0,9999,3373,6,Casual,Lime Green,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Placket,Button Front,Spring/Summer,"4.8% Spandex, 95.2% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Button-Front Long Sleeve Crop Top,4.99,,,,,
91,swtee07200825848,,10000,0,0,0,0,0,0,0,0,9999,3373,6,Casual,Baby Pink,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Placket,Button Front,Spring/Summer,"4.8% Spandex, 95.2% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Button Placket Crop Top,4.99,,,,,
92,swtwop04201031971,,6,0,0,0,0,0,0,0,0,6,0,18,Casual,Baby Blue,,,,Funnel Neck,Long Sleeve,Drop Shoulder,,Zipper,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Non-Stretch,No,Regular Fit,,,,,,,Sweatpants,Half Zip Drop Shoulder Sweatshirt & Pants Set,15.0,,,,Sweatshirt,
93,swblouse23201116046,,994,7,0,17,3,37,5,67,13,866,140,15,Casual,Black,Plain,Regular,Peplum,V neck,Long Sleeve,Bishop Sleeve,Pullovers,"Ruffle Hem, Button, Drawstring",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Drawstring Waist Lantern Sleeve Babydoll Blouse,13.0,,,,,
94,swblouse23201023739,,994,7,0,17,3,37,5,67,13,866,140,15,Casual,Red,Plain,Regular,Peplum,V neck,Long Sleeve,Bishop Sleeve,,"Button, Drawstring",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Drawstring Waist Lantern Sleeve Babydoll Blouse,13.0,,,,,
95,swblouse23201116083,,994,7,0,17,3,37,5,67,13,866,140,15,Casual,Burnt Orange,Plain,Regular,Peplum,V neck,Long Sleeve,Bishop Sleeve,,"Ruffle Hem, Button, Knot",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Knot Front Lantern Sleeve Babydoll Blouse,13.0,,,,,
96,swblouse23201116706,,994,7,0,17,3,37,5,67,13,866,140,15,Casual,Dark Green,Plain,Regular,Peplum,V neck,Long Sleeve,Bishop Sleeve,,"Ruffle Hem, Button, Knot",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Knot Front Lantern Sleeve Babydoll Blouse,13.0,,,,,
97,swblouse23201116343,,994,7,0,17,3,37,5,67,13,866,140,12,Casual,Navy Blue,Plain,Regular,Peplum,V neck,Long Sleeve,Bishop Sleeve,,"Ruffle Hem, Button, Knot",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Knot Front Lantern Sleeve Babydoll Blouse,9.99,,,,,
98,swblouse23201208680,,994,7,0,17,3,37,5,67,13,866,140,15,Elegant,Khaki,Plain,Regular,Peplum,V neck,Long Sleeve,Bishop Sleeve,Pullovers,"Ruffle Hem, Button, Knot",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Knot Front Lantern Sleeve Babydoll Blouse,13.0,,,,,
99,swblazer07200929064,,20,0,0,0,0,1,0,1,0,18,1,16,Elegant,Black,Plain,Long,Regular,Lapel,Long Sleeve,Regular Sleeve,,"Belted, Double Button",Spring/Fall,"95% Polyester, 5% Spandex",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Notched Collar Double Breasted Self Belted Blazer,13.49,,Double Breasted,,,Yes
100,swdress00201030659,,149,0,0,1,0,1,0,3,0,144,25,20,Boho,Multicolor,Patchwork,Long,A Line,V neck,Long Sleeve,Regular Sleeve,,"Wrap, Ruffle Hem",Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Non-Stretch,No,Regular Fit,,High Waist,,,,,,Patchwork Print Ruffle Hem Dress Without Belt,17.0,Flounce,,,,
101,swtop07201026816,,96,0,0,0,0,3,1,7,2,86,16,4,Casual,Multicolor,Leopard,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,Lettuce Trim,Spring/Summer,100% Polyester,Mesh,Slight Stretch,Yes,Slim Fit,,,,,,,,SHEIN Lettuce Trim Leopard Crop Top,4.0,,,,,
102,swtop07201214299,,96,0,0,0,0,3,1,7,2,86,16,4,Casual,Black and White,Leopard,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,Lettuce Trim,Spring/Summer,100% Polyester,Mesh,Slight Stretch,Yes,Slim Fit,,,,,,,,SHEIN Lettuce Trim Leopard Crop Top Without Bra,4.0,,,,,
103,swtop07201214854,,96,0,0,0,0,3,1,7,2,86,16,4,Casual,Multicolor,Leopard,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,"Lettuce Trim, Sheer",Spring/Summer,100% Polyester,Mesh,Slight Stretch,Yes,Slim Fit,,,,,,,,SHEIN Lettuce Trim Leopard Crop Top Without Bra,4.0,,,,,
104,swpants04200810185,,4644,24,4,31,8,115,22,303,75,4171,942,17,Glamorous,Olive Green,Plain,Long,Flare Leg,,,,,Rib-Knit,All,100% Polyester,Velvet,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Solid Flare Leg Velvet Pants,14.0,,,,,
105,swpants23200923586,,4644,24,4,31,8,115,22,303,75,4171,942,17,Glamorous,Black,Plain,Long,Flare Leg,,,,,Rib-Knit,All,100% Polyester,Corduroy,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Solid Flare Leg Velvet Pants,14.0,,,,,
106,swpants23200923357,,4644,24,4,31,8,115,22,303,75,4171,942,17,Glamorous,Rust Brown,Plain,Long,Flare Leg,,,,,Rib-Knit,Fall/Winter,100% Polyester,Velvet,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Solid Flare Leg Velvet Pants,14.0,,,,,
107,swpants23200923992,,4644,24,4,31,8,115,22,303,75,4171,942,17,Glamorous,Redwood,Plain,Long,Flare Leg,,,,,Rib-Knit,Fall/Winter,100% Polyester,Velvet,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Solid Flare Leg Velvet Pants,14.0,,,,,
108,swpants23200923717,,4644,24,4,31,8,115,22,303,75,4171,942,17,Glamorous,Burgundy,Plain,Long,Flare Leg,,,,,Rib-Knit,All,100% Polyester,Corduroy,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Solid Flare Leg Velvet Pants,14.0,,,,,
109,swpants23200923517,,4644,24,4,31,8,115,22,303,75,4171,942,17,Glamorous,Chocolate Brown,Plain,Long,Flare Leg,,,,,Rib-Knit,Fall/Winter,100% Polyester,Velvet,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Solid Flare Leg Velvet Pants,14.0,,,,,
110,swvest23201118738,,1283,5,0,6,2,20,2,88,11,1164,177,6,Casual,Multicolor,Colorblock,Crop,Tank,Scoop Neck,,,,Lettuce Trim,Summer,"65% Cotton, 35% Polyester",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,Contrast Panel Lettuce Trim Tank Top,5.0,,,,,
111,swvest23201208020,,1283,5,0,6,2,20,2,88,11,1164,177,6,Casual,Multicolor,Colorblock,Crop,Tank,Scoop Neck,,,,"Lettuce Trim, Rib-Knit",Summer,"65% Cotton, 35% Polyester",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,Contrast Panel Lettuce Trim Tank Top,5.0,,,,,
112,swvest23201208780,,1283,5,0,6,2,20,2,88,11,1164,177,6,Casual,Blue,Colorblock,Crop,Tank,Scoop Neck,,,,"Lettuce Trim, Rib-Knit",Summer,"65% Cotton, 35% Polyester",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,Contrast Panel Lettuce Trim Tank Top,5.0,,,,,
113,swvest23201211082,,1283,5,0,6,2,20,2,88,11,1164,177,6,Casual,Multicolor,Colorblock,Crop,Tank,Scoop Neck,,,,Lettuce Trim,Summer,"65% Cotton, 35% Polyester",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,Contrast Panel Lettuce Trim Tank Top,5.0,,,,,
114,swvest23201211508,,1283,5,0,6,2,20,2,88,11,1164,177,6,Casual,Multicolor,Colorblock,Crop,Tank,Scoop Neck,,,,Lettuce Trim,Summer,"65% Cotton, 35% Polyester",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,Contrast Panel Lettuce Trim Tank Top,5.0,,,,,
115,swvest23201229963,,1283,5,0,6,2,20,2,88,11,1164,177,6,Casual,Multicolor,Colorblock,Crop,Tank,Scoop Neck,,,,"Lettuce Trim, Rib-Knit",Summer,"65% Cotton, 35% Polyester",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,Contrast Panel Lettuce Trim Tank Top,5.0,,,,,
116,swpants01200817028,,4088,100,17,128,23,256,59,323,64,3282,664,17,,Black,Plain,Long,,,,,,Pocket,,"35% Polyester, 65% Cotton",Cotton Blends,Slight Stretch,No,Regular Fit,Elastic Waist,"High Waist, Natural",,,,,,Elastic Waist Slant Pocket Sweatpants,14.0,,,,,
117,swpants01200923937,,4088,100,17,128,23,256,59,323,64,3282,664,17,,Grey,Plain,Cropped,,,,,,Pocket,,"35% Polyester, 65% Cotton",Cotton Blends,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Elastic Waist Slant Pocket Sweatpants,14.0,,,,,
118,swpants01201015957,,4088,100,17,128,23,256,59,323,64,3282,664,17,,Coral Pink,Plain,Long,,,,,,Pocket,,"35% Polyester, 65% Cotton",Cotton Blends,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Elastic Waist Slant Pocket Sweatpants,14.0,,,,,
119,swpants01201110035,,4088,100,17,128,23,256,59,323,64,3282,664,17,,Brown,Plain,Cropped,,,,,,Pocket,All,"35% Polyester, 65% Cotton",Cotton Blends,Slight Stretch,No,Regular Fit,Elastic Waist,"High Waist, Natural",,,,,,Elastic Waist Slant Pocket Sweatpants,14.0,,,,,
120,swtee04201029860,,750,6,0,6,0,22,2,62,8,653,58,12,Casual,Black,Halloween,Long,,Round Neck,Three Quarter Length Sleeve,Drop Shoulder,Pullovers,,Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Reflective Graphic Print Tee,9.99,,,,,
121,swvest07200910306,,1262,21,3,39,10,83,18,72,19,1047,263,10,Glamorous,Black,Plain,Crop,Cami,Spaghetti Strap,,,,"Chain, Contrast Binding",All,100% Polyester,Satin,Non-Stretch,No,Slim Fit,,,,,,,,SHEIN Binding Detail Satin Bustier Cami Top With Chain Strap,9.0,,,,,
122,swvest07201015284,,1262,21,3,39,10,83,18,72,19,1047,263,10,Glamorous,White,Plain,Crop,Cami,Spaghetti Strap,,,,"Chain, Zipper",All,100% Polyester,Satin,Non-Stretch,No,Slim Fit,,,,,,,,SHEIN Zipper Back Chain Straps Satin Bustier Cami Top,9.0,,,,,
123,swvest07201015126,,1262,1262,313,39,10,83,18,72,19,1047,263,10,Glamorous,Brown,Plain,Crop,Cami,Spaghetti Strap,,,,"Chain, Zipper",All,100% Polyester,Satin,Non-Stretch,No,Slim Fit,,,,,,,,SHEIN Zipper Back Chain Straps Satin Bustier Cami Top,9.0,,,,,
124,swvest07201127252,,1262,21,3,39,10,83,18,72,19,1047,263,10,Elegant,Teal Blue,Plain,Crop,Cami,Spaghetti Strap,,,,"Chain, Zipper",Summer,100% Polyester,Satin,Non-Stretch,No,Slim Fit,,,,,,,,SHEIN Zipper Back Chain Straps Satin Bustier Cami Top,9.0,,,,,
125,swvest07201127009,,1262,21,3,39,10,83,18,72,19,1262,313,10,Elegant,Red Violet,Plain,Crop,Cami,Spaghetti Strap,,,,"Chain, Zipper",Summer,100% Polyester,Satin,Non-Stretch,No,Slim Fit,,,,,,,,SHEIN Zipper Back Chain Straps Satin Bustier Cami Top,9.0,,,,,
126,swvest07201127633,,1262,21,3,39,10,83,18,72,19,1047,263,10,Elegant,Royal Blue,Plain,Crop,Cami,Spaghetti Strap,,,,"Chain, Zipper",Summer,100% Polyester,Satin,Non-Stretch,No,Slim Fit,,,,,,,,SHEIN Zipper Back Chain Straps Satin Bustier Cami Top,9.0,,,,,
127,swjacket07200905269,,123,1,0,0,0,2,0,3,0,117,31,18,Casual,Multicolor,Tartan,Crop,Other,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button Front",Fall/Winter,100% Polyester,Wool-Mix Fabric,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Flap Pocket Patched Button Up Tartan Jacket,15.49,,Single Breasted,,,
128,swblouse23200817373,,5023,13,5,37,6,129,25,334,81,4511,1001,17,Casual,Khaki,Plaid,Regular,Shirt,Collar,Long Sleeve,Drop Shoulder,Placket,"Button, Button Front",Spring/Fall,"20% Cotton, 80% Polyester",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Plaid Button-Front Long Sleeve Shirt,14.0,,,,,
129,swblouse23200930024,,5023,13,5,37,6,129,25,334,81,4511,1001,17,Casual,Blue,Plaid,Regular,Shirt,Collar,Long Sleeve,Drop Shoulder,Placket,"Button, Button Front",Spring/Fall,"20% Cotton, 80% Polyester",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Plaid Blouse,14.0,,,,,
130,swblouse23200930877,,5024,13,5,37,6,129,25,334,81,4511,1001,17,Casual,Black and White,Plaid,Regular,Shirt,Collar,Long Sleeve,Drop Shoulder,Placket,"Button, Button Front",Spring/Fall,"20% Cotton, 80% Polyester",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Plaid Blouse,14.0,,,,,
131,swblouse23200930633,,5033,13,5,37,6,129,25,334,81,9,1010,17,Casual,Grey,Plaid,Regular,Shirt,Collar,Long Sleeve,Drop Shoulder,Placket,"Button, Button Front",Spring/Fall,"20% Cotton, 80% Polyester",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Plaid Blouse,14.0,,,,,
132,swblouse23201104354,,5024,13,5,37,6,129,25,334,81,4511,1001,17,Casual,Multicolor,Plaid,Regular,Shirt,Collar,Long Sleeve,Drop Shoulder,Placket,"Button, Button Front",Spring/Fall,"20% Cotton, 80% Polyester",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Plaid Blouse,14.0,,,,,
133,swtee07200902538,,7187,253,61,281,65,590,172,600,178,5464,1583,4,Casual,Khaki,Plain,Regular,,Funnel Neck,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN High Neck Form Fitted Tee,3.99,,,,,
134,swtee07200930432,,7187,253,61,281,65,590,172,600,178,5464,1583,6,Elegant,Chocolate Brown,Plain,Regular,,Funnel Neck,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN High Neck Form Fitted Tee,4.99,,,,,
135,swtee07200930551,,7187,253,61,281,65,590,172,600,178,5464,1583,6,"Casual, Basics",Black,Plain,Regular,,Funnel Neck,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN High Neck Form Fitted Tee,4.99,,,,,
136,swtee07200930594,,7187,253,61,281,65,590,172,600,178,5464,1583,3,Casual,Green,Plain,Regular,,Funnel Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN High Neck Form Fitted Tee,2.99,,,,,
137,swtee07200930684,,7188,253,61,281,65,590,172,600,178,5464,1583,6,Basics,Grey,Plain,Regular,,High Neck,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN High Neck Form Fitted Tee,4.99,,,,,
138,swtee07200930775,,7188,253,61,281,65,590,172,600,178,5464,1583,4,Elegant,White,Plain,Regular,,Funnel Neck,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Fall,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN High Neck Form Fitted Tee,3.99,,,,,
139,swpants07200916536,,577,21,5,19,1,38,8,51,11,448,82,24,Glamorous,Black,Plain,Cropped,Straight Leg,,,,,"Button, Pocket, Zipper",Fall/Winter,"60% Polyester, 40% PU Leather",PU Leather,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,SHEIN Slant Pocket PU Leather Straight Leg Pants,20.0,,,,,
140,swpants07201111197,,577,21,5,19,1,38,8,51,11,448,82,13,Glamorous,Brown,Plain,Cropped,Straight Leg,,,,,"Button, Pocket, Zipper",Fall/Winter,"60% Polyester, 40% PU Leather",PU Leather,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,SHEIN Slant Pocket PU Leather Pants,10.99,,,,,
141,swtee07200907812,,3554,29,5,37,7,146,46,223,59,3122,760,6,Casual,Redwood,Plain,Regular,,Funnel Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"34% Rayon, 4% Spandex, 62% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rolled Neck Waffle Knit Tee,4.99,,,,,
142,swtee07200930912,,3554,29,5,37,7,146,46,223,59,3122,760,6,Elegant,Dusty Blue,Plain,Regular,,Funnel Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"34% Rayon, 4% Spandex, 62% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rolled Neck Waffle Knit Tee,4.99,,,,,
143,swtee07200930520,,3554,29,5,3554,877,146,46,223,59,3122,760,6,Casual,White,Plain,Regular,,Funnel Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"34% Rayon, 4% Spandex, 62% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rolled Neck Waffle Knit Tee,4.99,,,,,
144,swtee07200930719,,3554,29,5,37,7,146,46,223,59,3122,760,6,Elegant,Black,Plain,Regular,,Funnel Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"34% Rayon, 4% Spandex, 62% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rolled Neck Waffle Knit Tee,4.99,,,,,
145,swtee07200930852,,3554,29,5,37,7,146,46,223,59,3122,760,6,Elegant,Grey,Plain,Regular,,Funnel Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"34% Rayon, 4% Spandex, 62% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rolled Neck Waffle Knit Tee,4.99,,,,,
146,swvest04201014828,,179,0,0,1,0,1,0,10,1,167,18,7,Elegant,Baby Blue,Colorblock,Crop,Cami,Spaghetti Strap,,,,"Contrast Lace, Rib-Knit",Summer,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Slim Fit,,,,,,,,Contrast Lace Detail Rib-knit Crop Cami Top,6.0,,,,,
147,swsweatsh04200903658,,733,2,1,6,2,24,4,51,17,648,115,21,Casual,Dark Green,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,"Embroidery, Pocket",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Letter Embroidered Slant Pocket Pullover,17.99,,,,,
148,swsweatsh04201028801,,733,2,1,6,2,24,4,51,17,648,115,7,Casual,Light Grey,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,"Embroidery, Pocket",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Letter Embroidered Slant Pocket Pullover,5.99,,,,,
149,swsweatsh04201028657,,733,2,1,6,2,24,4,51,17,648,115,21,Casual,Black,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,"Embroidery, Pocket",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Letter Embroidered Slant Pocket Pullover,17.99,,,,,
150,swtee07200825254,,2795,37,6,80,17,161,48,223,60,2294,608,6,Casual,Burgundy,Plain,Regular,,High Neck,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Fall,"3% Spandex, 52% Cotton, 45% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,,SHEIN High Neck Rib-knit Tee,4.99,,,,,
151,swtee07200723440,,2795,37,6,80,17,161,48,223,60,2294,608,6,Casual,Grey,Plain,Regular,,High Neck,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Fall,"3% Spandex, 52% Cotton, 45% Polyester",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN High Neck Form Fitted Marled Tee,4.99,,,,,
152,swtee07200825809,,2795,37,6,80,17,161,48,223,60,2294,608,6,Casual,Black,Plain,Regular,,High Neck,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Fall,"3% Spandex, 52% Cotton, 45% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,,SHEIN High Neck Rib-knit Tee,4.99,,,,,
153,swtee07201012816,,2795,37,6,80,17,161,48,223,60,2294,608,4,Casual,Khaki,Plain,Regular,,High Neck,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Fall,"3% Spandex, 52% Cotton, 45% Polyester",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN High Neck Rib-knit Tee,3.49,,,,,
154,swouter04200721170,,5332,46,5,62,12,149,33,386,110,4689,1217,21,Casual,Beige,Plain,Regular,Coat,V neck,Long Sleeve,Drop Shoulder,,Button Front,Spring/Fall,100% Acrylic,Acrylic,Non-Stretch,No,Oversized,,,,,,,,Button Front Drop Shoulder Cardigan,18.0,,,,,
155,swouter04200910579,,5332,46,5,62,12,149,33,386,110,4689,1217,21,Casual,Ginger,Plain,Regular,Coat,V neck,Long Sleeve,Drop Shoulder,,Button Front,Spring/Fall,100% Acrylic,Acrylic,Non-Stretch,No,Oversized,,,,,,,,Button Front Drop Shoulder Oversized Cardigan,18.0,,,,,
156,swouter04200910404,,5332,46,5,62,12,149,33,386,110,4689,1217,21,Casual,Black,Plain,Regular,Coat,V neck,Long Sleeve,Drop Shoulder,,Button Front,Spring/Fall,100% Acrylic,Acrylic,Non-Stretch,No,Oversized,,,,,,,,Button Front Drop Shoulder Oversized Cardigan,18.0,,,,,
157,swouter04200910478,,5332,46,5,62,12,149,33,386,110,4689,1217,20,Casual,Baby Pink,Plain,Regular,Coat,V neck,Long Sleeve,Drop Shoulder,,Button Front,Spring/Fall,100% Acrylic,Acrylic,Non-Stretch,No,Oversized,,,,,,,,Button Front Drop Shoulder Oversized Cardigan,17.0,,,,,
