,SKU,Item Name,Price,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Top Type,Placket,Belt,Hem Shaped,Arabian Clothing
78,swtee23201210591,Letter & Tropical Print Oversized Tee,14.99,2,0,0,0,0,0,0,0,0,2,0,18,Casual,Pink,"Letter, Tropical",Long,,Round Neck,Half Sleeve,Drop Shoulder,Pullovers,,Summer,100% Cotton,Cotton,Slight Stretch,No,Oversized,,,,,,,,,,,,
79,swvest07201204931,SHEIN Lettuce Trim Textured Crop Cami Top,2.49,266,1,0,2,1,8,1,18,3,238,72,3,Casual,Black,Plain,Crop,Cami,Spaghetti Strap,,,,Lettuce Trim,Summer,"3% Spandex, 33% Cotton, 64% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
80,swvest07200919354,SHEIN Lettuce Trim Textured Crop Cami Top,4.0,266,1,0,2,1,8,1,18,3,238,72,4,Casual,White,Plain,Crop,Cami,Spaghetti Strap,,,,Lettuce Trim,Summer,"65% Rayon, 35% Polyester",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
81,swvest07201204113,SHEIN Lettuce Trim Textured Crop Cami Top,2.49,266,1,0,2,1,8,1,18,3,238,72,3,Casual,Burgundy,Plain,Crop,Cami,Spaghetti Strap,,,,Lettuce Trim,Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
82,swtop23201215073,Argyle & Striped Pattern Sweater Vest,10.0,4,0,0,0,0,0,0,0,0,4,0,12,Casual,Light Grey,"Geometric, Striped",Crop,,V neck,Sleeveless,,Pullovers,,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
83,swtee23201023033,Tie Backless Crop Tee,5.99,2,0,0,0,0,0,0,0,0,2,0,7,Sexy,White,Plain,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,"Backless, Tie Back",Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
84,swblouse44200731648,Clip Dot Sheer Bishop Sleeve Crop Top,11.0,6732,66,11,104,16,259,53,514,130,5790,1509,13,Casual,White,Plain,Crop,Top,Sweetheart,Long Sleeve,Bishop Sleeve,Pullovers,"Frill, Ruched Bust",Spring/Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,Yes,,,,,,,,
85,swblouse44200910970,Swiss Dot Ruched Bust Crop Blouse,11.0,6732,66,11,104,16,259,53,514,130,5790,1509,13,Boho,Dusty Purple,Plain,Crop,Top,Sweetheart,Long Sleeve,Bishop Sleeve,Pullovers,"Frill, Ruched Bust",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,Yes,,,,,,,,
86,swblouse44200910330,Swiss Dot Ruched Bust Crop Blouse,11.0,6732,66,11,104,16,259,53,514,130,5790,1509,13,Boho,Baby Blue,Plain,Crop,Top,Sweetheart,Long Sleeve,Bishop Sleeve,Pullovers,"Frill, Ruched Bust",Spring/Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,Yes,,,,,,,,
87,swblouse44200910749,Swiss Dot Ruched Bust Crop Blouse,11.0,6732,66,11,104,16,259,53,514,130,5790,1509,13,Boho,Black,Plain,Crop,Top,Sweetheart,Long Sleeve,Bishop Sleeve,Pullovers,"Frill, Ruched Bust",Spring/Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,Yes,,,,,,,,
88,swblouse44200914965,Swiss Dot Bishop Sleeve Crop Blouse,11.0,6732,66,11,104,16,259,53,514,130,5790,1509,13,Elegant,Yellow,Plain,Crop,Top,Sweetheart,Long Sleeve,Bishop Sleeve,Pullovers,"Frill, Ruched Bust",Spring/Summer,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,Yes,,,,,,,,
89,swblouse44201015190,Swiss Dot Ruched Bust Crop Blouse,11.0,6732,66,11,104,16,259,53,514,130,5790,1509,13,Boho,Navy Blue,Plain,Crop,Top,Sweetheart,Long Sleeve,Bishop Sleeve,Pullovers,"Frill, Ruched Bust",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,Yes,,,,,,,,
90,swskirt23201219175,Split Side Rib-knit Bodycon Skirt,12.0,7,0,0,0,0,0,0,3,0,4,0,14,Casual,Watermelon Pink,Plain,Long,Bodycon,,,,,Split Thigh,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,,,High Waist,,,,,,,,,,
91,swtee07201202061,SHEIN Fire Print Crop Top,4.99,3497,2,0,0,0,23,7,83,30,3386,1327,6,Casual,Black,Fire,Crop,,Round Neck,Short Sleeve,Drop Shoulder,Pullovers,,Summer,"3% Spandex, 97% Cotton",Cotton,Non-Stretch,No,Regular Fit,,,,,,,,,,,,
92,swtee07200704300,SHEIN Fire Print Crop Top,4.99,3497,2,0,3,0,23,7,83,30,3386,1327,6,Casual,Black,Figure,Crop,,Round Neck,Short Sleeve,Drop Shoulder,Pullovers,,Summer,"5% Spandex, 95% Cotton",Cotton,Non-Stretch,No,Regular Fit,,,,,,,,,,,,
93,swtee07201127765,SHEIN Fire Print Crop Top,4.99,3497,2,0,3,0,23,7,83,30,3386,1327,6,Casual,White,Fire,Crop,,Round Neck,Short Sleeve,Drop Shoulder,Pullovers,,Summer,"3% Spandex, 97% Cotton",Cotton,Non-Stretch,No,Regular Fit,,,,,,,,,,,,
94,swtee07201127770,SHEIN Fire Print Crop Top,2.99,3497,2,0,3,0,23,7,83,30,3386,1327,3,Casual,Green,Fire,Crop,,Round Neck,Short Sleeve,Drop Shoulder,Pullovers,,Summer,"3% Spandex, 97% Cotton",Cotton,Non-Stretch,No,Regular Fit,,,,,,,,,,,,
95,swtee07200629284,SHEIN Form Fitted Long Sleeve Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,5898,4,Casual,Mint Green,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"95% Rayon, 5% Spandex",Rayon,High Stretch,No,Slim Fit,,,,,,,,,,,,
96,swtee07190911388,SHEIN Form-Fitting Long Sleeve Crop Top,3.99,10000,0,0,0,0,0,0,0,0,0,0,4,Casual,Black,Plain,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"95% Rayon, 5% Spandex",Rayon,High Stretch,,Slim Fit,,,,,,,,,,,,
97,swtee07200629305,SHEIN Form Fitted Long Sleeve Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,5898,4,Casual,"Pastel, Dusty Blue",Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring,"95% Rayon, 5% Spandex",Rayon,High Stretch,No,Slim Fit,,,,,,,,,,,,
98,swtee07200629790,SHEIN Form Fitted Long Sleeve Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,5898,4,Basics,White,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring,"95% Rayon, 5% Spandex",Rayon,High Stretch,No,Slim Fit,,,,,,,,,,,,
99,swtee07201109543,SHEIN Form-Fitting Solid Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,5898,4,Casual,Burgundy,Plain,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"95% Rayon, 5% Spandex",Rayon,High Stretch,No,Slim Fit,,,,,,,,,,,,
100,swtee07201109772,SHEIN Form-Fitting Long Sleeve Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,5898,4,Casual,Dusty Blue,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"95% Rayon, 5% Spandex",Rayon,High Stretch,No,Slim Fit,,,,,,,,,,,,
101,swtee07200807700,SHEIN Ribbed Marble Knit Surplice Cropped Tee,4.99,6388,30,8,49,8,172,52,300,100,5837,2056,6,Elegant,Grey,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Pullovers,Wrap,Spring/Fall,"25% Spandex, 5% Viscose, 70% Polyester",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
102,swtee07200907613,SHEIN Surplice Neck Rib-knit Crop Tee,4.99,6388,30,8,49,8,172,52,300,100,5837,2056,6,Casual,Redwood,Plain,Crop,,Deep V Neck,Long Sleeve,Regular Sleeve,Pullovers,"Wrap, Rib-Knit",Spring/Fall,"25% Spandex, 5% Viscose, 70% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
103,swtee07200907714,SHEIN Surplice Neck Rib-knit Crop Top,4.99,6388,30,8,49,8,172,52,300,100,5837,2056,6,Sexy,Black,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Pullovers,"Wrap, Rib-Knit",Spring/Summer,"25% Spandex, 5% Viscose, 70% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
104,swtee07200923150,SHEIN Surplice Neck Rib-knit Crop Top,4.49,6388,30,8,49,8,172,52,300,100,5837,2056,5,Casual,Khaki,Plain,Crop,,Deep V Neck,Long Sleeve,Regular Sleeve,Pullovers,"Wrap, Rib-Knit",Spring/Summer,"25% Spandex, 5% Viscose, 70% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
105,swtee07200930276,SHEIN Surplice Neck Rib-knit Crop Tee,4.49,6388,30,8,49,8,172,52,300,100,5837,2056,5,Casual,Rust Brown,Plain,Crop,,V neck,Long Sleeve,Regular Sleeve,Pullovers,"Wrap, Rib-Knit",Spring/Summer,"2% Spandex, 98% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
106,swjacket07200707874,SHEIN Press Buttoned PU Leather Puffer Jacket,21.99,252,1,0,1,0,5,2,7,0,239,59,26,Glamorous,Coffee Brown,Plain,Regular,Padded ,High Neck,Long Sleeve,Regular Sleeve,,Button Front,Winter,"45% PU Leather, 55% Polyester",PU Leather,Slight Stretch,No,Regular Fit,,,,,,,,,Single Breasted,,,
107,swjumpsui07200821335,SHEIN Ribbed Lucky Graphic Zip-Up Jumpsuit,16.0,1221,19,1,15,2,30,10,64,9,1094,260,19,Casual,Black,Letter,Capris,Unitard,Collar,Long Sleeve,Regular Sleeve,,"Zipper, Rib-Knit",Spring/Fall,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Skinny,,Natural,,,,,,,,,,
108,swjumpsui07200922324,SHEIN Collared Zip Up Letter Graphic Jumpsuit,12.49,1221,19,1,15,2,30,10,64,9,1094,260,15,Casual,Burgundy,Letter,Capris,Unitard,Collar,Long Sleeve,Regular Sleeve,,"Zipper, Rib-Knit",Spring/Fall,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Skinny,,Natural,,,,,,,,,,
109,swouter44200909535,Single Breasted Flap Pocket Belted PU Coat,16.99,338,5,0,3,0,7,1,28,4,296,75,20,Casual,Black,Plain,Short,Other,Collar,Long Sleeve,Regular Sleeve,,"Belted, Pocket, Button Front",Fall/Winter,100% PU Leather,PU Leather,Non-Stretch,No,Regular Fit,,,,,,,,,Single Breasted,Yes,,
110,swtee07200721717,SHEIN V-neck Ruched Front Lettuce Edge Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,5402,4,Casual,Burgundy,Plain,Crop,,V neck,Short Sleeve,Regular Sleeve,Pullovers,"Lettuce Trim, Ruched",Summer,"7.5% Spandex, 60% Cotton, 32.5% Polyester",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
111,swtee07200703933,SHEIN Ruched Front Lettuce Trim Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,5402,4,Casual,White,Plain,Crop,,V neck,Short Sleeve,Regular Sleeve,Pullovers,"Lettuce Trim, Ruched",Summer,"7.5% Spandex, 60% Cotton, 32.5% Polyester",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
112,swtee07200721719,SHEIN V-neck Ruched Front Lettuce Edge Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,5402,4,Casual,Lime Green,Plain,Crop,,V neck,Short Sleeve,Regular Sleeve,Pullovers,"Lettuce Trim, Ruched",Summer,"7.5% Spandex, 60% Cotton, 32.5% Polyester",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
113,swtee07200721341,SHEIN Lettuce Trim Ruched Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,5402,4,Casual,"Pastel, Lilac Purple",Plain,Crop,,V neck,Short Sleeve,Regular Sleeve,Pullovers,"Lettuce Trim, Ruched",Summer,"7.5% Spandex, 60% Cotton, 32.5% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
114,swtee07200721116,SHEIN V-neck Ruched Front Lettuce Edge Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,5402,4,Casual,Black,Plain,Crop,,V neck,Short Sleeve,Regular Sleeve,Pullovers,"Lettuce Trim, Ruched",Summer,"7.5% Spandex, 60% Cotton, 32.5% Polyester",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
115,swtee07200812505,SHEIN Lettuce Trim Ruched Tee,3.99,10000,0,0,0,0,0,0,0,0,9999,5402,4,Casual,"Pastel, Baby Pink",Plain,Crop,,V neck,Short Sleeve,Regular Sleeve,Pullovers,"Lettuce Trim, Ruched",Summer,"7.5% Spandex, 60% Cotton, 32.5% Polyester",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
116,swpants07200806062,SHEIN High Waist Wide Leg Pants,12.0,4734,48,7,78,16,202,43,336,83,4070,828,14,Casual,Black,Plain,Long,Wide Leg,,,,,,Spring/Summer/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Loose,Elastic Waist,High Waist,,,,,,,,,,
117,swpants07200812869,SHEIN Elastic Waist Rib-knit Wide Leg Pants,12.0,4734,48,7,78,16,202,43,336,83,4070,828,14,Casual,Black,Plain,Long,Wide Leg,,,,,Rib-Knit,Spring/Summer/Fall,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Loose,Elastic Waist,High Waist,,,,,,,,,,
118,swpants07200828789,SHEIN Elastic Waist Solid Palazzo Pants,11.0,4737,48,7,78,16,202,43,336,83,3,831,13,Casual,Navy Blue,Plain,Long,Wide Leg,,,,,,Spring/Summer/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Loose,Elastic Waist,High Waist,,,,,,,,,,
119,swpants07200828258,SHEIN Elastic Waist Solid Palazzo Pants,12.0,4734,48,7,78,16,202,43,336,83,4070,828,14,Casual,Rust Brown,Plain,Long,Wide Leg,,,,,Rib-Knit,Spring/Summer/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Loose,Elastic Waist,High Waist,,,,,,,,,,
120,swpants07201027757,SHEIN High Waist Wide Leg Pants,13.0,4734,48,7,78,16,202,43,336,83,4070,828,15,Casual,Dark Grey,Plain,Long,Wide Leg,,,,,,Spring/Summer/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Loose,Elastic Waist,High Waist,,,,,,,,,,
121,swleg07201128426,SHEIN Striped Waist Cropped Leggings,7.0,4,0,0,0,0,0,0,0,0,6,0,8,Sporty,Dark Grey,Striped,Cropped,Regular,,,,,,All,"95% Polyester, 5% Spandex",Polyester,Slight Stretch,No,,,,,,,,,,,,,Yes
122,swdress04200717735,Frill Trim Tie Front Crinkle Dress,13.0,10000,31,22,152,33,384,97,656,242,8785,3343,15,Elegant,Red,Plain,Short,Fitted,Sweetheart,Short Sleeve,Puff Sleeve,,"Frill, Cut Out, Tie Front",Summer,"95% Cotton, 5% Polyester",Cotton,Non-Stretch,No,Regular Fit,,Natural,,,,,,,,,Straight,
123,swdress04200429300,Frill Trim Tie Front Crinkle Dress,13.0,10000,31,22,152,33,384,97,0,0,8785,3343,15,Elegant,White,Plain,Short,Fitted,Sweetheart,Short Sleeve,Puff Sleeve,,"Frill, Cut Out, Tie Front",Summer,"95% Cotton, 5% Polyester",Cotton,Non-Stretch,No,Regular Fit,,Natural,,,,,,,,,Straight,
124,swdress04200717122,Frill Trim Tie Front Crinkle Dress,13.0,10000,31,22,152,33,384,97,656,242,8785,3343,15,Elegant,Black,Plain,Short,Fitted,Sweetheart,Short Sleeve,Puff Sleeve,,"Frill, Cut Out, Tie Front",Summer,"95% Cotton, 5% Polyester",Cotton,Non-Stretch,No,Regular Fit,,Natural,,,,,,,,,Straight,
125,swdress04200717795,Frill Trim Tie Front Crinkle Dress,13.0,10000,31,22,152,33,384,97,656,242,8785,3343,15,Elegant,Baby Blue,Plain,Short,Fitted,Sweetheart,Short Sleeve,Puff Sleeve,,"Frill, Cut Out, Tie Front",Summer,"95% Cotton, 5% Polyester",Cotton,Non-Stretch,No,Regular Fit,,Natural,,,,,,,,,Straight,
126,swdress04200722272,Frill Trim Tie Front Crinkle Dress,13.0,10000,31,22,152,33,384,97,656,242,8785,3343,15,Elegant,Lilac Purple,Plain,Short,Fitted,Sweetheart,Short Sleeve,Puff Sleeve,,"Frill, Cut Out, Tie Front",Summer,"95% Cotton, 5% Polyester",Cotton,Non-Stretch,No,Regular Fit,,Natural,,,,,,,,,Straight,
127,swtee07200905740,SHEIN Square Neck Tie Dye Panel Rib-knit Crop Tee,8.99,742,1,1,3,1,10,2,38,11,691,176,10,Casual,Violet Purple,"Plain, Tie Dye",Crop,,Square Neck,Long Sleeve,Regular Sleeve,Pullovers,"High Low, Rib-Knit",Spring/Summer,"27.7% Rayon, 7.5% Spandex, 64.8% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,Asymmetrical,
128,swtee07201012253,SHEIN Square Neck Tie Dye Panel Rib-knit Crop Tee,7.99,742,1,1,3,1,10,2,38,11,691,176,9,Elegant,Navy Blue,Tie Dye,Crop,,Square Neck,Long Sleeve,Regular Sleeve,Pullovers,Asymmetrical,Spring/Fall,"27.7% Rayon, 7.5% Spandex, 64.8% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,Asymmetrical,
129,swskirt23200810002,M-Slit High Waisted Mini Skirt,8.0,1054,36,4,44,10,83,18,106,28,785,188,9,Casual,Black,Plain,Mini,Bodycon,,,,,Split,Summer,100% Polyester,Polyester,Slight Stretch,No,,,High Waist,,,,,,,,,,
130,swskirt23201124319,Slit Hem Mini Bodycon Skirt,4.49,1054,36,4,44,10,83,18,106,28,785,188,5,Elegant,Army Green,Plain,Mini,Bodycon,,,,,Split,Summer,100% Polyester,Polyester,Slight Stretch,No,,,High Waist,,,,,,,,,,
131,swskirt23201124932,Split Front Mini Bodycon Skirt,4.49,1054,36,4,44,10,83,18,106,28,785,188,5,Elegant,Camel,Plain,Mini,Bodycon,,,,,"Split, Zipper",Summer,100% Polyester,Polyester,Slight Stretch,No,,,High Waist,,,,,,,,,,
132,swtee07200804443,SHEIN Drawstring Ruched Front Bustier Crop Top,14.99,1850,19,1,30,8,89,16,135,42,1580,319,18,Casual,White,Plain,Crop,,Sweetheart,Long Sleeve,Regular Sleeve,Pullovers,"Knot, Drawstring, Ruched, Rib-Knit",Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
133,swtee07200930481,SHEIN Drawstring Ruched Front Bustier Crop Top,14.99,1850,19,1,30,8,0,0,135,42,1580,319,18,Casual,Dusty Blue,Plain,Crop,,Sweetheart,Long Sleeve,Regular Sleeve,Pullovers,"Drawstring, Ruched, Rib-Knit",Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
134,swtee07200930059,SHEIN Drawstring Ruched Front Bustier Crop Top,17.99,1850,19,1,30,8,89,16,135,42,1580,319,21,Casual,Black,Plain,Crop,,Sweetheart,Long Sleeve,Regular Sleeve,Pullovers,"Knot, Drawstring, Ruched, Rib-Knit",Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
135,swtee07201121340,SHEIN Drawstring Ruched Front Bustier Crop Top,14.99,1850,19,1,30,8,89,16,135,42,1580,319,18,Casual,"Pastel, Baby Pink",Plain,Crop,,Sweetheart,Long Sleeve,Regular Sleeve,Pullovers,"Knot, Ruched, Rib-Knit",Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
136,swtee07201121869,SHEIN Drawstring Ruched Front Bustier Crop Top,14.99,1850,19,1,30,8,89,16,135,42,1580,319,18,Casual,Baby Blue,Plain,Crop,,Sweetheart,Long Sleeve,Regular Sleeve,Pullovers,"Knot, Drawstring, Ruched, Rib-Knit",Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
137,swvest23201028623,Two Tone Lace Up Front Tank Top,8.0,12,0,0,0,0,0,0,0,0,12,0,9,Sexy,Blue and White,Colorblock,Crop,Tank,Round Neck,,,,"Lace Up, Rib-Knit",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
138,swshorts04200713435,Ripped Detail Frayed Trim Denim Shorts,14.0,3730,91,21,105,19,220,46,328,79,2987,763,17,,Black,Plain,,Straight Leg,,,,,"Ripped, Raw Hem, Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,Natural,,,,,,,,,,
139,swshorts04190510241,SHEIN Distressed Mid-Waist Denim Shorts,14.0,3730,91,21,105,19,220,46,328,79,2987,763,17,,Light Wash,Plain,,Straight Leg,,,,,"Ripped, Raw Hem, Button, Pocket, Zipper",Summer,"85% Cotton, 15% Polyester",Denim,Non-Stretch,,Regular Fit,"Button Fly, Zipper Fly",Natural,,,,,,,,,,
140,swshorts04200602668,Raw Hem Ripped Denim Shorts,11.0,3730,91,21,105,19,220,46,328,79,2987,763,13,,Light Wash,Plain,,Straight Leg,,,,,"Ripped, Raw Hem, Button, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,"Button Fly, Zipper Fly",Natural,,,,,,,,,,
141,swtee23200721316,Solid Drawstring Side Crop Tee,7.99,10000,0,0,0,0,0,0,0,0,9999,3541,9,Casual,Navy Blue,Plain,Crop,,Round Neck,Short Sleeve,Regular Sleeve,Pullovers,Drawstring,Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
142,swtee01200504009,Drawstring Ruched Solid Crop Tee,7.99,10000,0,0,0,0,0,0,0,0,9999,3541,9,Casual,Black,Plain,Regular,,Round Neck,Short Sleeve,Regular Sleeve,Pullovers,"Drawstring, Ruched",Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
143,swtee23200615951,Drawstring Side Solid Crop Tee,7.99,10000,0,0,0,0,0,0,0,0,9999,3541,9,Casual,Maroon,Plain,Crop,,Round Neck,Short Sleeve,Regular Sleeve,Pullovers,Drawstring,Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
144,swtee23200618049,Drawstring Side Solid Tee,7.99,10000,0,0,0,0,0,0,0,0,9999,3541,9,Casual,Baby Pink,Plain,Crop,,Round Neck,Short Sleeve,Regular Sleeve,Pullovers,Drawstring,Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
145,swtee23200618360,Solid Drawstring Side Crop Tee,7.99,10000,0,0,0,0,0,0,0,0,9999,3541,9,Casual,White,Plain,Crop,,Round Neck,Short Sleeve,Regular Sleeve,Pullovers,Drawstring,Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
146,swtee23200721514,Solid Drawstring Side Crop Tee,7.99,10000,0,0,0,0,0,0,0,0,9999,3541,9,Casual,Baby Blue,Plain,Crop,,Round Neck,Short Sleeve,Regular Sleeve,Pullovers,Drawstring,Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
147,swvest07201205237,SHEIN Drawstring Ruched Hem Cami Top,5.0,25,0,0,0,0,0,0,2,0,23,0,6,Casual,Black,Plain,Crop,Cami,Spaghetti Strap,,,,"Drawstring, Ruched",Summer,"5% Spandex, 25% Cotton, 70% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
148,swtee07201210780,SHEIN Cap Sleeve Snake Print Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,5889,4,Casual,Black,Animal,Crop,,Round Neck,Cap Sleeve,Regular Sleeve,Pullovers,,Summer,"95% Rayon, 5% Spandex",Rayon,High Stretch,No,Slim Fit,,,,,,,,,,,,
149,swtee07190611745,SHEIN Cap Sleeve Snake Print Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,5889,4,Casual,Black,Animal,Crop,,Round Neck,Cap Sleeve,Regular Sleeve,Pullovers,,Summer,"95% Rayon, 5% Spandex",Rayon,High Stretch,,Slim Fit,,,,,,,,,,,,
150,swtee07191211201,SHEIN Snake Print Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,5889,4,Casual,Black,Animal,Crop,,Round Neck,Cap Sleeve,Regular Sleeve,Pullovers,,Summer,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
151,swtee07191211532,SHEIN Snake Print Crop Tee,3.99,10000,0,0,0,0,0,0,0,0,9999,5889,4,Casual,White,Animal,Crop,,Round Neck,Cap Sleeve,Regular Sleeve,Pullovers,,Summer,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
152,swtee07201210588,SHEIN Neon Lime Cap Sleeve Snake Print Crop Top,3.99,10000,0,0,0,0,0,0,0,0,9999,5889,4,Casual,"Neon, Lime Green",Animal,Crop,,Round Neck,Cap Sleeve,Regular Sleeve,Pullovers,,Summer,"95% Rayon, 5% Spandex",Rayon,High Stretch,No,Slim Fit,,,,,,,,,,,,
153,swpants04201119859,High Waist Raw Hem Ripped Mom Jeans,19.0,467,7,1,7,1,24,3,38,7,391,64,23,,Light Wash,Plain,Long,Straight Leg,,,,,"Ripped, Raw Hem, Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,Natural,,,,,,,,,,
154,swpants04201008214,High Waist Raw Hem Ripped Mom Jeans,20.0,467,7,1,7,1,24,3,38,7,391,64,24,,Medium Wash,Plain,Long,Straight Leg,,,,,"Ripped, Raw Hem, Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,Natural,,,,,,,,,,
155,swtee07201118409,SHEIN Stitch Detail Cutout Front Bandana Tee,5.99,116,1,0,0,0,3,1,7,1,108,24,7,Casual,Chocolate Brown,,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,"Asymmetrical, Cut Out",Spring/Fall,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,,,,Asymmetrical,
